"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/11 15:46'25"	"41831.6572337963"	"  23.2000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:46'45"	"41831.6574652778"	"  23.2000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:47'05"	"41831.6576967593"	"  23.1000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:47'25"	"41831.6579282407"	"  23.1000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:47'45"	"41831.6581597222"	"  23.1000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:48'05"	"41831.6583912037"	"  23.1000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:48'25"	"41831.6586226852"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:48'45"	"41831.6588541667"	"  23.2000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:49'05"	"41831.6590856481"	"  23.2000"	"  54.0000"	"  983.4000"	""	""	""	""	""	
"2014/07/11 15:49'25"	"41831.6593171296"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:49'45"	"41831.6595486111"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:50'05"	"41831.6597800926"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:50'25"	"41831.6600115741"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:50'45"	"41831.6602430556"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:51'05"	"41831.6604745370"	"  23.2000"	"  54.0000"	"  983.6000"	""	""	""	""	""	
"2014/07/11 15:51'25"	"41831.6607060185"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
"2014/07/11 15:51'45"	"41831.6609375000"	"  23.2000"	"  54.0000"	"  983.5000"	""	""	""	""	""	
